,id,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,preview_url
112,5zHqXGQkZ1BSGePTAg6xSF,HipHop,0.816,0.725,9,-3.786,0,0.149,0.352,0.0,0.125,0.444,143.917,173333,4,https://p.scdn.co/mp3-preview/eff103168fd1d72f12249eb58ec24cdd3b085ad3?cid=b1b7bb35faa34eac9690da4b561aa86f
113,0Fg88OWOdERXLMDcTWYwjf,HipHop,0.759,0.494,2,-9.495,1,0.341,0.343,0.0,0.114,0.174,129.969,209752,4,
114,2d95OanRucycsY2kOKgZmU,HipHop,0.661,0.621,5,-4.87,0,0.387,0.0227,0.0,0.115,0.291,119.119,232000,5,https://p.scdn.co/mp3-preview/18b724597e5a8cb95510bd39b187b640b62fe87f?cid=b1b7bb35faa34eac9690da4b561aa86f
115,5XOVnisFK9XbICdyMMjrol,HipHop,0.586,0.622,4,-7.358,1,0.148,0.132,0.00117,0.284,0.327,138.067,264348,4,
116,582YxhgpJEY0aEHQtVQFhO,HipHop,0.84,0.629,6,-6.629,0,0.291,0.152,0.0,0.154,0.564,148.125,162162,4,
117,2RWlRSi9TthgUka2yrLnrD,HipHop,0.632,0.699,0,-6.432,0,0.0658,0.128,0.000242,0.359,0.63,154.993,274200,4,
118,53QRPT9Z42ALxGL1YGT9x1,HipHop,0.94,0.652,5,-5.806,1,0.303,0.00226,0.0,0.0898,0.712,95.976,165765,4,
119,2yUzr8Sr6ldG8vmHhZwTnz,HipHop,0.678,0.758,1,-6.524,1,0.227,0.00495,0.0,0.57,0.318,165.423,220584,4,https://p.scdn.co/mp3-preview/b62efc34ec3502ecfb2bcd8e8f1d0bce419aad63?cid=b1b7bb35faa34eac9690da4b561aa86f
120,6j3wDNKqEeZ6QwPtCcpJX8,HipHop,0.641,0.681,6,-4.888,0,0.283,0.504,2.69e-05,0.103,0.896,101.429,242453,4,
121,2Adxpr1j5lSihOCsmIfflJ,HipHop,0.78,0.41,5,-8.164,1,0.0451,0.0185,0.0,0.153,0.0585,121.919,215240,4,
