,Unnamed: 0,id,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,preview_url
61,61,4lr5mye1VerMXRA6KlBOi3,Classical,0.299,0.272,1,-13.575,1,0.033,0.588,0.212,0.119,0.518,145.843,193357,4,https://p.scdn.co/mp3-preview/01d40ed1cd7b16ddb81333639204fac29a34625f?cid=b1b7bb35faa34eac9690da4b561aa86f
62,62,0MJbkehic2iN5I8Bsuv3sW,Classical,0.2,0.13,2,-22.939,0,0.0447,0.99,0.0,0.0917,0.0737,126.634,167524,4,https://p.scdn.co/mp3-preview/d47edef8148c31dd2a6d6398e9fe673276476d10?cid=b1b7bb35faa34eac9690da4b561aa86f
63,63,1cRP13puWsdCxDcsE2Nbqm,Classical,0.369,0.256,2,-19.411,1,0.0379,0.98,0.836,0.109,0.721,85.265,208225,4,https://p.scdn.co/mp3-preview/b5c2e065630f9f256ed562e6897f9e278f0242e8?cid=b1b7bb35faa34eac9690da4b561aa86f
64,64,2rfIwt0N4dszt5wSPby7yN,Classical,0.446,0.147,6,-18.848,1,0.0532,0.868,0.000394,0.0902,0.495,77.811,236613,4,https://p.scdn.co/mp3-preview/34c8d3303ac0b7ec6fd78ad0d8b2b46bd58183de?cid=b1b7bb35faa34eac9690da4b561aa86f
65,65,2V6wPcZzNlrnbseIvbK2ns,Classical,0.271,0.0795,10,-18.347,0,0.0368,0.992,0.907,0.127,0.102,132.248,237133,4,https://p.scdn.co/mp3-preview/4e03856c821e27baab224dbb7e8d4693ce0708ad?cid=b1b7bb35faa34eac9690da4b561aa86f
66,66,0JMYSUNKN64HEVuaJuqIPq,Classical,0.266,0.0321,11,-23.032,0,0.0454,0.966,0.0049,0.195,0.12,89.876,214007,4,https://p.scdn.co/mp3-preview/019d4a15f4568474190d7dba1626f161c16b1fc3?cid=b1b7bb35faa34eac9690da4b561aa86f
67,67,2P4b6J38CAHV16mkAynVw4,Classical,0.503,0.144,2,-16.082,1,0.0728,0.975,0.11,0.0971,0.166,92.888,299320,4,https://p.scdn.co/mp3-preview/f2c7a942fbe5153038e26ae7bebb70c068c74937?cid=b1b7bb35faa34eac9690da4b561aa86f
68,68,6KrqyEVkeavWsTWFnbtyxq,Classical,0.537,0.109,5,-22.594,1,0.0575,0.955,0.866,0.0781,0.617,120.929,118120,4,https://p.scdn.co/mp3-preview/8951c0558feaa384093dfe9582692ea083dec27b?cid=b1b7bb35faa34eac9690da4b561aa86f
69,69,5LSjrhfG4IXPFfgBjcm4gd,Classical,0.14,0.0192,2,-28.456,1,0.045,0.971,0.401,0.082,0.0355,62.422,499640,4,https://p.scdn.co/mp3-preview/bb47bf9343af06a814910f31e003080c68805d95?cid=b1b7bb35faa34eac9690da4b561aa86f
70,70,1ujtxQOBusdYi83Lp3ltOo,Classical,0.344,0.196,2,-13.225,1,0.0341,0.944,0.709,0.0708,0.0935,130.133,269071,3,https://p.scdn.co/mp3-preview/45037d979b33ff5d6ad1b1423b321da0e6f58b81?cid=b1b7bb35faa34eac9690da4b561aa86f
71,71,2BIXzNuTXWLt1z4AdLgVuN,Classical,0.11,0.00763,6,-30.073,0,0.0449,0.969,0.000871,0.15,0.103,80.306,320000,4,https://p.scdn.co/mp3-preview/786f703983313685f0766cb963ae1cd9c12151c2?cid=b1b7bb35faa34eac9690da4b561aa86f
72,72,1dZCUeDrTZaZeCxZjmYJH9,Classical,0.356,0.13,11,-17.07,1,0.0442,0.951,0.116,0.261,0.231,119.507,231373,4,https://p.scdn.co/mp3-preview/18b48b88ec494ed761536897cb9d3e708cd48592?cid=b1b7bb35faa34eac9690da4b561aa86f
73,73,631zjqifUs0KP3tC1O8tsP,Classical,0.461,0.0223,8,-27.012,1,0.0434,0.994,0.839,0.138,0.276,97.023,194827,4,https://p.scdn.co/mp3-preview/7b5c2ffdfd17ea0177cecaf828a6bd3ce01d46f4?cid=b1b7bb35faa34eac9690da4b561aa86f
