id,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,preview_url,mfcc_1Mean,mfcc_2Mean,mfcc_3Mean,mfcc_4Mean,mfcc_5Mean,mfcc_6Mean,mfcc_7Mean,mfcc_8Mean,mfcc_9Mean,mfcc_10Mean,mfcc_11Mean,mfcc_12Mean,mfcc_13Mean,chroma_1Mean,chroma_2Mean,chroma_3Mean,chroma_4Mean,chroma_5Mean,chroma_6Mean,chroma_7Mean,chroma_8Mean,chroma_9Mean,chroma_10Mean,chroma_11Mean,chroma_12Mean
2qzSAwWcOzV2HqwHYJs3Sb,Metal,0.534,0.957,7,-6.949,1,0.0825,0.000421,1.16E-05,0.0724,0.484,140.049,185143,4,https://p.scdn.co/mp3-preview/e2acda891d9ef574f874d359ba7c8b3d234398f2?cid=5fe60eee742d40ef853bb1ae66209140,17.946085,61.612354,-17.097387,13.695791,3.855056,19.652746,2.647057,8.602697,1.4534714,11.517965,2.94067,6.3291736,-1.4375136,0.5442753,0.4910646,0.534696,0.5508665,0.5353054,0.53935486,0.62421477,0.63550645,0.6290998,0.60867274,0.5745627,0.5980056
0Db6rB2rnrBWlpElDmawzD,Metal,0.529,0.969,2,-5.446,1,0.0648,1.13E-05,0.197,0.0433,0.305,92.518,309427,4,https://p.scdn.co/mp3-preview/8720936d34dbb20193ea0403fdce680310bf0558?cid=5fe60eee742d40ef853bb1ae66209140,43.08833,76.63445,-11.985891,21.99677,0.8743949,13.427275,3.1037698,9.553174,2.5130298,7.4275618,0.19738789,6.7924247,0.18622866,0.64323354,0.61983633,0.7112256,0.7077779,0.63030297,0.55706847,0.5146243,0.5127327,0.5338794,0.57502955,0.6666731,0.70082796
3ebvoHUqI3uutrROMNjYgx,Metal,0.452,0.959,1,-5.198,1,0.0542,2.52E-05,0.0692,0.0867,0.236,102.506,212971,4,https://p.scdn.co/mp3-preview/6443d16ffa5c7892f6eb8ec015faa024445dfba3?cid=5fe60eee742d40ef853bb1ae66209140,35.83985,77.772804,-23.474909,23.166386,5.3946795,21.310701,4.441283,7.6357927,6.303394,4.02905,2.7053804,4.741847,-0.86861575,0.64633644,0.5236191,0.5111586,0.48735696,0.5346819,0.5697602,0.5368481,0.62022257,0.5615052,0.51192546,0.51125085,0.5677206
57ahH5SJKNyuzqeXs7UAx8,Metal,0.212,0.978,1,-3.024,1,0.24,4.17E-05,0.284,0.0793,0.234,172.106,248006,5,https://p.scdn.co/mp3-preview/fb3c4bd1ff91dc3da53c540f39f5380e489df5c1?cid=5fe60eee742d40ef853bb1ae66209140,65.47652,53.151234,-16.16529,17.072947,3.937156,10.987169,3.4749198,9.491948,2.477324,9.691685,-1.2115756,9.298574,-0.9946516,0.64954257,0.66262496,0.69143176,0.6722597,0.66098887,0.5990219,0.54782665,0.62085575,0.7491169,0.656973,0.6871168,0.6581967
7AgCZfUW6PaKLwcSdmq1BX,Metal,0.391,0.994,7,-1.578,1,0.267,0.000328,0.000421,0.381,0.0653,169.945,193491,4,https://p.scdn.co/mp3-preview/92626abefbcb3ca903e2d333118bd4b6962376e8?cid=5fe60eee742d40ef853bb1ae66209140,68.15935,68.833275,-22.969946,10.964046,0.9085204,24.402605,4.906417,6.9037476,-5.3822203,8.513701,-0.4598902,6.1728997,-1.197699,0.56779087,0.50157696,0.52097106,0.6226205,0.6312467,0.53070056,0.5285303,0.65762466,0.6208413,0.5118584,0.5179843,0.5928795
46Qa30CYiSwlF6hXQgtyEx,Metal,0.27,0.976,0,-2.348,1,0.169,0.000265,0.000103,0.112,0.192,151.457,183400,3,https://p.scdn.co/mp3-preview/9dc612b2ff4696dfdafdea9e6401cd51d9880073?cid=5fe60eee742d40ef853bb1ae66209140,62.761017,86.75105,-9.336684,18.741156,-4.6569977,8.782782,3.4310436,12.932858,-0.0881227,9.336393,0.06331091,6.840654,1.5130111,0.57972187,0.5318457,0.5670129,0.60499054,0.6776774,0.67967886,0.5881422,0.5651151,0.5717523,0.5277524,0.51344377,0.57136446
621WVwfZaAaBDLWIHrXi3E,Metal,0.245,0.972,11,-3.969,0,0.168,0.000316,0.0672,0.199,0.202,149.978,274199,3,https://p.scdn.co/mp3-preview/111fb5d0298f8d19c50a651aadfb0ae95af779c2?cid=5fe60eee742d40ef853bb1ae66209140,43.98474,76.03658,-11.759294,20.447765,3.09687,20.122309,0.087622344,8.187784,-2.8106112,8.62291,-1.2794243,7.547076,-1.8968445,0.55355096,0.4693541,0.43198627,0.50997055,0.62094617,0.5383491,0.53471845,0.54555136,0.54614794,0.60135746,0.5301046,0.6069193
5tUv7S1AEuJZ9FzQfNkOKY,Metal,0.234,0.935,7,-6.25,1,0.0722,7.21E-05,0.00138,0.374,0.355,99.993,165750,4,https://p.scdn.co/mp3-preview/147cf127c628863a4d5df61451d8f3899e3e575f?cid=5fe60eee742d40ef853bb1ae66209140,12.985085,67.700195,-23.011066,21.665623,2.3201802,19.936535,7.168297,8.73197,3.7611375,12.689657,2.7754636,5.92645,0.41329712,0.5469827,0.5293735,0.56357974,0.538905,0.5411781,0.5895851,0.6719684,0.6558071,0.6608592,0.6408844,0.6187901,0.6003501
2nXbUvxpDa8chlfcngIfv2,Metal,0.466,0.914,10,-10.612,1,0.0776,0.000757,1.34E-06,0.308,0.369,135.016,204000,4,https://p.scdn.co/mp3-preview/0420be076e3c0e96b989412a11e6d3a0d50081d1?cid=5fe60eee742d40ef853bb1ae66209140,-29.985138,90.114914,-11.004005,13.588582,-2.1641073,8.452234,-4.6066236,2.19234,-0.5389778,6.2409925,2.346817,8.585352,1.8613784,0.38211855,0.33524886,0.38154495,0.43869764,0.43148264,0.6708188,0.45407644,0.3714713,0.39876604,0.44713837,0.5316915,0.41538477
5fVnIk5pKHswnUX730Snm9,Metal,0.462,0.935,1,-8.51,1,0.0765,9.78E-06,0.0348,0.396,0.181,127.997,228619,4,https://p.scdn.co/mp3-preview/e9e01c3d6627ad14052da2b5d390548dfcf761ae?cid=5fe60eee742d40ef853bb1ae66209140,6.942926,73.08787,-11.690515,19.628391,8.7332735,15.948819,3.253427,10.450953,3.259193,12.112555,5.2556014,10.525021,-2.8632,0.68379015,0.65607977,0.6064619,0.5808238,0.6472323,0.6856711,0.72769463,0.6192205,0.5624224,0.5436832,0.573486,0.6244238
1uHMXS06rC7zIDWbluQsbJ,Metal,0.415,0.927,1,-5.016,0,0.0715,6.41E-06,3.60E-05,0.327,0.168,92.461,205028,4,https://p.scdn.co/mp3-preview/a1dd1477893ef30cf151ace26fd48b11a92ca255?cid=5fe60eee742d40ef853bb1ae66209140,35.97236,75.74094,-18.229233,28.58176,0.3134918,17.943432,1.1513717,10.997625,4.8860598,11.107912,1.4116642,13.106677,-2.2881508,0.48979998,0.56471884,0.45330295,0.45724517,0.5245681,0.49360418,0.53851265,0.51482975,0.61281157,0.6198651,0.4628598,0.49956122
5Y5HctDOkqtg5S4a8cETvf,Metal,0.396,0.95,7,-5.532,1,0.115,0.000988,0,0.123,0.627,179.777,154453,4,https://p.scdn.co/mp3-preview/508926bd9705bb1d7a3e4183b9b7f08d53b1f0d8?cid=5fe60eee742d40ef853bb1ae66209140,30.457272,67.02185,-14.197777,29.112324,7.978911,13.969358,-1.0509579,8.930883,-3.0307279,3.8367639,-0.16257676,6.3754287,-0.7767824,0.57332695,0.53485566,0.5133909,0.48496205,0.5128415,0.49159107,0.51044667,0.5719467,0.55419433,0.51240754,0.48980865,0.54097044
62ZCzZ2W6c9IePCG2sJPtj,Metal,0.409,0.967,6,-4.313,0,0.142,6.78E-05,3.82E-06,0.275,0.387,170.15,240479,4,https://p.scdn.co/mp3-preview/757e21557dbc463af6cd119d458032815e0013aa?cid=5fe60eee742d40ef853bb1ae66209140,28.018515,80.916245,-29.057049,16.675009,-0.7229457,19.939205,-1.418628,12.162815,7.407552,9.917299,3.7372766,11.9007435,4.1548524,0.59013116,0.5995458,0.53511924,0.46686688,0.43951097,0.46169335,0.45010868,0.5023881,0.6007427,0.6372533,0.5856185,0.5702288
1YoDrgam5iP5xAO9LsWLjl,Metal,0.544,0.938,1,-5.291,1,0.13,0.00023,0.0104,0.25,0.254,113.465,251166,5,https://p.scdn.co/mp3-preview/a95aa1ea1a1bbda691394f9f394fb1492d33468c?cid=5fe60eee742d40ef853bb1ae66209140,15.613335,79.305405,-9.919622,22.97167,1.9444488,12.692363,5.5211906,9.682108,3.6205528,9.150081,1.6069367,8.710451,0.96565264,0.58033806,0.54286474,0.55193067,0.55262333,0.52248514,0.50490355,0.53862655,0.72666997,0.6883173,0.59905005,0.5369421,0.5309622
7v9Sgq6kgQOiGtoIqEaWQJ,Metal,0.47,0.966,1,-4.321,1,0.127,5.43E-05,0.00502,0.83,0.47,180.049,215008,4,https://p.scdn.co/mp3-preview/1de9373fbde70a3251e3abe6d87ad36c972901b6?cid=5fe60eee742d40ef853bb1ae66209140,36.240616,59.81145,-17.132559,23.531113,4.8267603,14.101797,9.107201,16.647543,3.956194,12.089708,4.158067,5.7155914,0.26505256,0.524491,0.4456231,0.4541843,0.5595742,0.59451616,0.5536662,0.57963145,0.61682785,0.62403995,0.6074504,0.56460947,0.560707
18QgZfNbPc350bqudgfl5a,Metal,0.489,0.93,10,-4.302,0,0.113,6.79E-05,0.000784,0.522,0.321,100.012,114600,4,https://p.scdn.co/mp3-preview/fac76ee4bf14b1a8a965e59b5ef5bd26ce788906?cid=5fe60eee742d40ef853bb1ae66209140,58.885204,84.1841,-8.314209,11.894376,4.8108077,10.091372,5.5824866,7.421733,6.403291,8.911935,2.9028363,7.453833,1.1628995,0.6270488,0.57097447,0.54357225,0.57560897,0.6690309,0.6115195,0.53929126,0.57715714,0.6841924,0.79223484,0.7636632,0.6992636
6VX3Dt9GzniPQNuTbiioGG,Metal,0.45,0.977,6,-6.845,1,0.124,0.000202,3.69E-06,0.325,0.328,140.1,190948,4,https://p.scdn.co/mp3-preview/3ed723c2be33d43e319f22f1d6960131eae0445c?cid=5fe60eee742d40ef853bb1ae66209140,16.82432,57.555504,-15.259012,14.828525,1.6105671,17.98679,1.0233982,6.737441,-0.17721553,8.660139,1.6355318,5.9275374,-2.138683,0.5519967,0.5101813,0.5196503,0.5556969,0.5209902,0.5353041,0.58558464,0.6046306,0.6331406,0.70002246,0.6177972,0.57128567
